
File: rev_1.16.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 315 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 62 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 352 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 18 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 50 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 65 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 85 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.01.sql Line: 99 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 62 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.17.sql Line: 352 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
